groupKey	totalCount	observedTerms	suggestedSynonyms	sources
synonym:ファイル	85	file(52,english); ファイル(33,katakana)		Tracker/Design/Core/tracker-core-engine-detail-design.md:16; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:15; Tracker/Tracker.DebugHost/README.md:12; Tracker/Design/Core/tracker-history-000-038.md:11; Tracker/Design/Core/tracker-architecture-plan.md:9; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:8; Tracker/Design/DebugHost/debug-host-maintainability-design.md:8; Tracker/Tracker.CaptureReplay/README.md:4
synonym:メタデータ	81	metadata(80,english); メタデータ(1,katakana)		Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:28; Tracker/Design/Core/tracker-architecture-plan.md:16; Tracker/Tracker.DebugHost/README.md:15; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:7; Tracker/Tracker.CaptureReplay/README.md:5; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2
synonym:オフィシャル	73	official(67,english); 公式(6,japanese)	オフィシャル	Tracker/Design/Core/tracker-architecture-plan.md:34; Tracker/Tracker.DebugHost/README.md:11; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:9; Tracker/Design/tasks-status.md:6; Tracker/Design/Core/tracker-core-engine-detail-design.md:4; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; README.md:2
synonym:ドキュメント	72	文書(71,japanese); ドキュメント(1,katakana)	document	tools/lint/README.md:22; Tracker/Design/tasks-status.md:21; Tracker/Design/phases-status.md:10; Tracker/Design/Archive/Core/tasks-status.md:5; Tracker/Design/Archive/DebugHost/tasks-status.md:5; Tracker/Design/Archive/Core/phases-status.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2
synonym:インプット	71	入力(64,japanese); Input(7,english)	インプット	Tracker/Design/Core/tracker-architecture-plan.md:25; Tracker/Design/tasks-status.md:15; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:9; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:9; Tracker/Design/Core/tracker-history-000-038.md:4; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; Tracker/Tracker.CaptureReplay/README.md:1
synonym:サンプル	70	sample(40,english); 標本(29,japanese); サンプル(1,katakana)	見本	Tracker/Design/tasks-status.md:22; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:15; Tracker/Design/RuntimeHost/runtime-host-plan.md:13; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:9; Tracker/Design/Archive/DebugHost/tasks-status.md:3; Tracker/Design/phases-status.md:3; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:参照	66	参照(63,japanese); 参考(3,japanese)		Tracker/Design/Core/tracker-architecture-plan.md:17; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:15; Tracker/Design/tasks-status.md:9; Tracker/Design/Core/tracker-core-engine-detail-design.md:7; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; AGENTS.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2
synonym:エンジン	63	engine(61,english); エンジン(2,katakana)		Tracker/Design/Core/tracker-history-000-038.md:21; Tracker/Design/Core/tracker-architecture-plan.md:18; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:7; Tracker/Design/Core/tracker-core-engine-detail-design.md:6; Tracker/Tracker.DebugHost/README.md:5; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Tracker.CaptureReplay/README.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
synonym:オブリゲーション	60	責務(59,japanese); 責任(1,japanese)	obligation | オブリゲーション | 義務	Tracker/Design/Core/tracker-architecture-plan.md:12; Tracker/Design/Core/tracker-core-engine-detail-design.md:11; Tracker/Design/DebugHost/debug-host-maintainability-design.md:8; Tracker/Design/tasks-status.md:7; Tracker/Design/Core/tracker-history-000-038.md:6; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:4; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3
synonym:スピード	60	速度(50,japanese); speed(10,english)	pace | tempo | スピード | テンポ | ペース | 速さ	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:26; Tracker/Design/Core/tracker-architecture-plan.md:15; Tracker/Tracker.DebugHost/README.md:7; Tracker/Design/Archive/Core/tasks-status.md:6; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
synonym:フィルタ	60	filter(59,english); フィルタ(1,katakana)		Tracker/Design/Core/tracker-architecture-plan.md:40; Tracker/Design/Core/tracker-history-000-038.md:8; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5; Tracker/Tracker.DebugHost/README.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:2
synonym:コメント	58	コメント(51,katakana); comment(7,english)		Tracker/Design/Core/tracker-test-maintainability-detail-design.md:18; Tracker/Design/Core/tracker-core-engine-detail-design.md:16; Tracker/Design/Core/tracker-history-000-038.md:14; Tracker/Design/DebugHost/debug-host-maintainability-design.md:9; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
synonym:ルール	58	規則(39,japanese); rule(16,english); ルール(3,katakana)	regulation | きまり | レギュレーション | 掟 | 決まり | 決まりごと | 決まり事 | 決めごと | 決め事 | 決り事 | 準則 | 約束ごと | 約束事 | 規制 | 規定 | 規律 | 規程 | 規約	Tracker/Design/Core/tracker-architecture-plan.md:31; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:8; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; tools/lint/README.md:4; Tracker/Design/tasks-status.md:3; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/Archive/DebugHost/phases-status.md:1
synonym:受信	56	受信(53,japanese); 着信(3,japanese)		Tracker/Tracker.DebugHost/README.md:17; Tracker/Design/Core/tracker-architecture-plan.md:14; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:8; Tracker/Design/RuntimeHost/runtime-host-plan.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/Archive/Core/tasks-status.md:3; README.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1
synonym:リクエスト	55	要求(29,japanese); request(25,english); 要望(1,japanese)	リクエスト | 要請	Tracker/Design/Core/tracker-architecture-plan.md:41; Tracker/Design/Core/tracker-history-000-038.md:6; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
synonym:ラベル	54	label(50,english); ラベル(4,katakana)	letter | レッテル | レーベル	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:33; Tracker/Tracker.DebugHost/README.md:8; Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:6
synonym:一般	47	通常(45,japanese); 一般(2,japanese)		Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:8; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:7; Tracker/Tracker.DebugHost/README.md:7; tools/lint/README.md:7; Tracker/Design/Core/tracker-core-engine-detail-design.md:4; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2
synonym:ジャッジ	46	判定(36,japanese); 判断(10,japanese)	judge | judgement | ジャッジ | ジャッジメント | 審判 | 審査 | 評定	Tracker/Design/Core/tracker-architecture-plan.md:22; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Tracker.DebugHost/README.md:6; Tracker/Design/tasks-status.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; feedback-points/feedback-points.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
synonym:ランタイム	46	runtime(39,english); 実行時(7,japanese)	ランタイム	Tracker/Design/Core/tracker-architecture-plan.md:11; Tracker/Design/RuntimeHost/runtime-host-plan.md:9; Tracker/Tracker.DebugHost/README.md:6; Tracker/Design/tasks-status.md:5; Tracker/Design/Core/tracker-history-000-038.md:4; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2
synonym:アウトライン	45	summary(40,english); 概要(4,japanese); 要約(1,japanese)	abstract | outline | resume | résumé | synopsis | あらすじ | あらまし | アウトライン | アブストラクト | サマリ | サマリー | シノプシス | レジメ | レジュメ | 大略 | 大要 | 梗概 | 概ね | 概略 | 粗筋 | 荒筋 | 要旨	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:14; Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:5; Tracker/Tracker.CaptureReplay/README.md:5; Tracker/Design/tasks-status.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:3; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2
synonym:インデクス	45	index(44,english); 索引(1,japanese)	インデクス | インデックス	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:33; Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Tracker.DebugHost/README.md:4; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Archive/Core/tasks-status.md:1
synonym:タイム	45	time(33,english); 時間(12,japanese)	タイム	Tracker/Design/Core/tracker-architecture-plan.md:19; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:8; Tracker/Tracker.DebugHost/README.md:8; Tracker/Design/Core/tracker-core-engine-detail-design.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:レビュー	45	review(35,english); レビュー(10,katakana)	レヴュー | 批評 | 評論 | 論評	Tracker/Design/Core/tracker-history-000-038.md:33; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; README.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
synonym:ボタン	43	button(38,english); ボタン(5,katakana)		Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:30; Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Tracker.DebugHost/README.md:2
synonym:了承	43	許可(38,japanese); 承認(5,japanese)	ゆるし | 了承 | 了解 | 受諾 | 承知 | 承諾 | 裁可 | 許し | 許諾 | 認可	tools/lint/README.md:15; Tracker/Design/tasks-status.md:14; Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/phases-status.md:4; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; feedback-points/feedback-points.md:2; Tracker/Design/Core/tracker-history-000-038.md:2
synonym:モード	41	mode(38,english); モード(3,katakana)		Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:15; Tracker/Design/RuntimeHost/runtime-host-plan.md:11; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:9; Tracker/Tracker.DebugHost/README.md:4; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/tasks-status.md:1
synonym:オリジン	40	開始(31,japanese); 着手(7,japanese); start(1,english); 起点(1,japanese)	kickoff | origin | roots | starting | おこり | オリジン | キックオフ | スターティング | スタート | ルーツ | 出発 | 出発点 | 原点 | 始まり | 根源 | 発進 | 起こり | 起原 | 起源	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:21; Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Archive/DebugHost/phases-status.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:3; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/tasks-status.md:1
synonym:ポジション	40	位置(35,japanese); position(5,english)	ポジション	Tracker/Design/Core/tracker-architecture-plan.md:25; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:ペンディング	35	pending(29,english); 保留(6,japanese)	ペンディング | ペンド | 棚上げ | 留保	Tracker/Design/Core/tracker-architecture-plan.md:21; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/tasks-status.md:5; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/Archive/Core/phases-status.md:1
synonym:クラス	34	class(33,english); クラス(1,katakana)		Tracker/Design/Core/tracker-test-maintainability-detail-design.md:18; Tracker/Design/DebugHost/debug-host-maintainability-design.md:6; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:ユーザ	33	利用者(21,japanese); ユーザー(12,katakana)	user | ユーザ	Tracker/Design/tasks-status.md:7; tools/lint/README.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5; feedback-points/feedback-points.md:4; AGENTS.md:3; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1
synonym:ラスト	33	最終(25,japanese); last(5,english); 最後(3,japanese)	ラスト | 終わり	Tracker/Design/Core/tracker-architecture-plan.md:10; Tracker/Design/tasks-status.md:7; Tracker/Design/Core/tracker-history-000-038.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Archive/Core/tasks-status.md:1; feedback-points/feedback-points.md:1
synonym:インサイド	32	内部(30,japanese); 内側(2,japanese)	inside | インサイド | 内面	Tracker/Design/Core/tracker-architecture-plan.md:21; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Tracker.DebugHost/README.md:2; AGENTS.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:ストップ	32	Stop(16,english); 停止(16,japanese)	ストップ	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:13; Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:6; Tracker/Tracker.DebugHost/README.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:2
synonym:コネクション	29	関連(14,japanese); 関係(12,japanese); 結合(3,japanese)	connection | relation | つながり | コネクション | リレーション | 係わり | 結びつき | 結び付き | 繋がり | 連関 | 関わり | 関わり合い	Tracker/Design/tasks-status.md:5; Tracker/Design/Core/tracker-history-000-038.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; feedback-points/feedback-points.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:2
synonym:コンパチ	29	互換(25,japanese); 互換性(4,japanese)	compatible | コンパチ | コンパチブル	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:7; Tracker/Design/tasks-status.md:5; Tracker/Design/RuntimeHost/runtime-host-plan.md:4; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; README.md:1; Tracker/Design/Archive/DebugHost/phases-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1
synonym:ノーマル	29	正常(27,japanese); normal(2,english)	ノーマル | 普通	Tracker/Design/tasks-status.md:15; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/phases-status.md:3; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:フューチャー	28	将来(25,japanese); future(2,english); 未来(1,japanese)	フューチャー | 先行き | 前途 | 行く先 | 行く末	Tracker/Design/RuntimeHost/runtime-host-plan.md:8; Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/tasks-status.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/phases-status.md:1
synonym:決定	26	確定(22,japanese); 決定(4,japanese)		Tracker/Design/Core/tracker-architecture-plan.md:17; Tracker/Design/tasks-status.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; tools/lint/README.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
synonym:メソッド	25	method(24,english); 方式(1,japanese)	メソッド	Tracker/Design/Core/tracker-core-engine-detail-design.md:9; Tracker/Design/DebugHost/debug-host-maintainability-design.md:7; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:5; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:データ	22	data(14,english); データ(8,katakana)	データー	Tracker/Design/Core/tracker-architecture-plan.md:10; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:7; Tracker/Tracker.DebugHost/README.md:2; README.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:ナンバー	21	number(20,english); 番号(1,japanese)	ナンバー	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:9; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1; feedback-points/feedback-points.md:1
synonym:ベース	21	基本(8,japanese); base(5,english); ベース(4,katakana); 基盤(4,japanese)	土台 | 基礎	Tracker/Design/Core/tracker-architecture-plan.md:8; Tracker/Design/Core/tracker-history-000-038.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Tracker.CaptureReplay/README.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:1
synonym:構成	21	構成(17,japanese); 組み立て(4,japanese)	組成	Tracker/Design/Core/tracker-architecture-plan.md:6; Tracker/Design/tasks-status.md:6; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; README.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
synonym:この先	20	以降(11,japanese); 以後(4,japanese); その後(3,japanese); 今後(2,japanese)	この先	Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/tasks-status.md:4; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; tools/lint/README.md:1
