自然なカタカナの許可候補：140語
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=長文分割した許可一覧の補助診断。重複する検出を含む。
各行は同じ語・対応方針の全検出をまとめる。箇所は代表1件で、README.mdのF番号を参照。
未適用の提案。許可候補を自動で登録したものではない。

語	C件数	W件数	対応案	代表箇所
バインド	0	3	設定値とプロパティまたはソケットと通信先の関連付け	F11:108
バックグラウンド	0	2	画面の操作とは独立して動く処理	F13:41
バッファ	0	17	後続処理まで入力や出力を保持する領域	F07:299
バランス	0	1	複数の品質条件の兼ね合い	F07:761
パケット	0	144	送受信する通信データの単位	F07:17
パス	0	18	ファイル等の場所を示す表記	F07:127
パッケージ	0	1	配布される依存ライブラリの単位	F20:16
パラメータ/パラメーター	0	2	計算や処理を調整する設定値	F07:593
パーティクルフィルター	0	1	多数の候補状態による推定手法。本文の不採用方針を維持	F07:710
ビルド	0	3	ソースコードから実行物を生成する処理	F02:21
ファイル	0	198	情報を保存する単位	F07:119
フィルター	0	47	観測から状態を推定する処理。UIの選別は絞り込みと記す	F07:596
フィールド	0	125	競技場またはその描画領域。型のデータ項目とは区別	F07:88
フォルダ	0	43	ファイルをまとめる保存場所	F07:124
フラグ	0	2	条件や状態の有無を表す値	F07:238
フレーム	0	141	ある時点の観測情報や追跡状態をまとめた単位	F07:138
フレームワーク	0	2	プログラムを実行するための共通基盤	F08:115
ブラウザ/ブラウザー	0	6	Web UIを表示し操作するソフトウェア	F11:193
プログラム	0	1	実行する処理を記述したもの	F14:130
プロジェクト	0	12	ビルドや責務をまとめる開発単位	F07:343
プロセス	0	8	実行中のプログラムの単位	F07:36
プロパティ	0	15	型が公開する値の取得設定口	F08:5
ヘッダー	0	3	画面上部の見出しや操作領域	F11:193
ページ	0	6	URLなどで分かれる画面	F07:584
ホイール	0	2	マウスの回転操作部	F12:92
ボタン	0	40	処理開始等の操作を選ぶ画面部品	F07:19
ボール	0	150	追跡対象の球	F07:20
ポート	0	27	UDP等の送受信先を分ける番号	F07:117
マウス	0	1	画面を指示する入力機器	F12:92
マゼンタ	0	1	重ね表示の層を区別する色名	F11:268
マルチキャスト	0	15	指定グループへ通信する方式	F07:10
マーカー	0	9	ボールやロボット等を示す描画要素	F11:272
メガバイト	0	3	記録ファイル等の容量単位	F11:84
メソッド	0	25	型に属する呼び出し可能な処理	F08:5
メニュー	0	1	操作や画面の選択肢	F13:296
メモ	0	2	補足や調査内容の記録	F07:66
メモリ	0	1	実行時の値や状態を保持する領域	F11:132
メンバー	0	4	型に属するメソッドやプロパティ等	F08:111
モジュール	0	1	まとまった責務を持つ構成単位	F07:57
モデル	0	23	追跡状態や表示に必要なデータの構造	F07:16
モバイル	0	1	携帯端末向けの表示環境	F13:296
モード	0	24	動作や表示の選択状態	F07:36
ユニキャスト	0	1	特定の宛て先への通信方式	F11:28
ユーザー	0	15	画面や機能を利用する人	F07:377
ライブ	0	27	保存記録の再生ではなく現在の入力を扱う表示	F11:29
ライブラリ	0	4	他のプログラムから再利用する機能群	F02:11
ラッパー	0	2	既存機能を別の利用口で包む処理。具体的な型を併記	F08:314
ラベル	0	4	画面上の表示名	F07:150
リスク	0	7	未解消の問題が結果へ影響する可能性	F07:144
リセット	0	21	定めた範囲の状態を初期化する操作	F07:421
リポジトリ	0	3	Gitで管理するソースコードや文書のまとまり	F02:3
リング	0	1	ボール等の周囲に描く円形の目印	F11:268
ルール	0	12	競技の判定規則	F07:21
レイアウト	0	5	画面部品の配置	F07:584
レビュー	0	22	成果物の内容を確認する作業	F02:14
レフェリー	0	12	競技の判定を担当するもの	F07:1
レポート	0	3	調査や検証結果をまとめた文書	F02:14
ログ	0	108	動作や受信内容の記録	F07:18
ログファイル	0	4	動作記録を保存したファイル	F11:36
ロック	0	1	同時操作を制御する排他処理	F13:73
ロボット	0	96	追跡対象となる競技機体	F02:3
ローカル	0	5	実行端末内の場所や状態	F07:213

同義の別表記候補（許可する場合だけ同じ項目へ追加）：
カウンター = カウンタ
コンストラクター = コンストラクタ
パラメーター = パラメータ
フィルター = フィルタ
ブラウザー = ブラウザ
ヘッダー = ヘッダ
サーバー = サーバ
