その他の全指摘への対応案
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=許可一覧の長文分割診断。件数は重複する検出を含む。
場所はREADME.mdのF番号と元の行番号。許可候補は未適用。

共通方針：
S01: 脚注の参照IDは構造として維持し、その本文だけを検査する
S02: 依存物の名前とバージョンは維持。機械用の依存一覧を説明文の検査から分離
J02: 語全体を維持する。漢字部分とカタカナ部分を分けて検査し、未許可のカタカナを漢字との混在だけで通さない。
TASK-ID: 履歴の作業IDと依存関係は維持し、必要ならIDの部分だけをコード表記にする。日本語へ改名しない。

分類	語	C	W	対応案または共通方針	代表箇所
D02	TRACKER-036	2	0	TASK-ID	F09:47
D02	TRACKER-037	2	0	TASK-ID	F09:48
D02	TRACKER-038	2	0	TASK-ID	F09:1
D02	true	1	1	ソースに存在する識別子や真偽値と照合し、その部分だけをコード表記にする	F18:246
D03	アプリ	0	1	アプリケーションへ表記統一	F18:3
D03	エントリ	0	1	記録1件または設定項目と具体化	F18:122
D03	オブザーバー	0	5	通知を受け取る処理。識別子ITrackerObserver等は維持	F08:332
D03	ゲート	0	1	承認条件または検査	F07:1157
D03	コンテキスト	0	1	作業状況／適用設定の状態	F09:3
D03	スキップ	0	1	省略	F18:243
D03	スクラブ	0	1	再生位置をドラッグして変更する	F18:133
D03	スコープ	0	3	対象範囲。「非スコープ」は対象外	F13:7
D03	スナップショットログ	0	3	スナップショットのログ	F11:31
D03	セッション	0	2	受信記録は記録単位、ブラウザー保存は保持期間を具体化	F11:193
D03	ソート	0	1	並べ替え	F11:84
D03	ツリー	0	2	フォルダ構成／Gitの作業ツリーを区別	F07:1170
D03	ドット	0	2	ファイル名の区切り文字「.」と説明する。	F08:115
D03	ドメイン	0	1	追跡処理の中核部分	F02:7
D03	パネル	0	2	表示領域	F18:56
D03	フェーズ	0	6	段階	F07:1149
D03	フロー	0	1	データフローはデータの流れ	F07:515
D03	ベース	0	4	基準／もとに	F07:885
D03	ボックス	0	1	選択欄	F11:144
D03	マージン	0	1	接触とみなす距離の余裕	F18:418
D03	リソース	0	1	ソケットやメモリ等の対象を明記	F10:162
D03	ルート	0	2	最上位フォルダ／トップページ／通信経路を区別	F13:266
D03	ループ	0	2	周期処理。ループバック中の断片には適用しない	F07:144
D03	レコード	0	9	記録。C#のrecord宣言は識別子として別扱い	F08:60
D03	ロジック	0	3	処理	F02:7
D03	外出	0	9	外部の設定から指定できるようにする、と説明する	F07:430
D03	実時	0	4	現在受信している内容の表示、と説明する	F16:162
D03	庫内	0	1	リポジトリ内、と記す	F16:103
D04	Tracker/Tracker.DebugHost/README.md	1	0	リンク先パスは保持し、リンクの表示名を「診断実行体の利用手順」にする。	F02:56
J02	グループ内	0	1	J02	F13:216
J02	サイズ変更	0	1	J02	F11:295
J02	単体テスト	0	12	J02	F13:311
J02	回帰テスト	0	8	J02	F10:16
M01	コール	0	1	コールバックの断片。関数が呼び出される条件を説明	F13:256
M01	チップ	0	9	チップキックの全体で定義し単独登録しない	F07:597
M01	バック	0	3	ループバック／コールバックの断片。元の複合語単位で扱い単独登録しない	F07:144
M01	ボールト	0	1	ボールトラッカーの誤分割。断片は登録せず、ボールの追跡処理と説明	F07:717
M01	ミリ	0	4	ミリ秒等の単位の一部。単位として扱い単独登録しない	F11:138
M01	ラッカー	0	1	ボールトラッカーの誤分割。断片は登録しない	F07:717
M01	元名	0	15	表示元名・送信元名の全体で読む。断片を登録しない	F07:592
M01	元数	0	2	表示元の数、と書く	F07:127
M01	再読	0	5	再読み取り、と書く	F11:132
M01	未設	0	1	未設定という原文は維持し、解析された断片を登録しない	F13:30
M01	組名	0	6	設定組の名前、と書く	F07:281
S01	accent-color	2	1	S01	F13:233
S01	capture-viewer	2	1	S01	F14:5
S01	degraded-legacy-session	3	1	S01	F13:260
S01	diagnostics-line-alignment	3	1	S01	F13:248
S01	diagnostics-logging-replay-processing	4	1	S01	F13:252
S01	diagnostics-replay	2	1	S01	F14:5
S01	diagnostics-sample-timeline	3	1	S01	F13:242
S01	display-label	2	1	S01	F13:212
S01	frame-timestamp	2	1	S01	F13:213
S01	future-later-snapshot	3	1	S01	F13:248
S01	headless-host	2	1	S01	F14:5
S01	immutable-snapshot	2	1	S01	F13:205
S01	immutable-snapshot-store	3	1	S01	F13:203
S01	latest-before-snapshot	3	1	S01	F13:244
S01	latest-raw-snapshot	2	1	S01	F13:242
S01	latest-tracker-snapshot	1	1	S01	F13:242
S01	legacy-render-snapshot-sidecar	2	2	S01	F13:240
S01	live-state	2	1	S01	F13:202
S01	live-store	2	1	S01	F13:216
S01	live-ui	1	1	S01	F13:203
S01	loop-isolation	2	1	S01	F13:252
S01	multi-tracker-manager	3	1	S01	F13:202
S01	mutable-state	2	1	S01	F13:203
S01	nearest-timestamp	2	1	S01	F13:248
S01	new-capture	1	1	S01	F13:240
S01	old-format-current-limitation	3	1	S01	F13:240
S01	packet-timestamp	2	1	S01	F13:205
S01	raw-snapshot-cadence	2	1	S01	F13:262
S01	receive-callback	2	1	S01	F13:205
S01	receive-timestamp	2	1	S01	F13:213
S01	render-tick-id	2	1	S01	F13:211
S01	replay-timeline-index	3	1	S01	F13:240
S01	same-process	2	1	S01	F14:5
S01	selected-tick	2	1	S01	F13:244
S01	source-term	2	1	S01	F13:190
S01	split-independent-viewport	3	1	S01	F13:229
S01	third-party-tracker	3	1	S01	F13:201
S01	timeline-cursor	2	1	S01	F13:246
S01	tracked-source	2	1	S01	F13:198
S01	tracker-algorithm	2	1	S01	F14:11
S01	tracker-committed-frame-cadence	4	1	S01	F13:240
S01	tracker-operation	2	1	S01	F14:9
S01	tracker-operation-loop	3	1	S01	F13:252
S01	ui-only-display-correction	3	1	S01	F13:252
S01	web-server-live-display-processing	4	1	S01	F13:252
S01	web-ui	0	1	S01	F14:5
S01	world-frame-committed	1	1	S01	F13:240
S02	PyYAML	0	1	S02	F22:7
S02	setuptools	0	1	S02	F22:1
S02	sudachidict_core	0	1	S02	F22:5
S02	vcs-versioning	0	1	S02	F22:3
S02	wheel	0	1	S02	F22:2
